epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,2872.06,1.66464,1.63842,0.00625,0.50677,0.42572,0.43683,0.23695,1.64192,1.78648,0.00647,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2934.49,1.65294,1.64058,0.00627,0.50682,0.43138,0.43896,0.23736,1.64729,1.76579,0.00649,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2996.69,1.6376,1.64141,0.00625,0.50121,0.43181,0.43606,0.23545,1.64022,1.78878,0.00647,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3058.98,1.63803,1.60796,0.00617,0.51067,0.42539,0.43618,0.23462,1.64663,1.78969,0.0065,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3120.86,1.63402,1.60778,0.00621,0.50948,0.42852,0.43748,0.23587,1.64889,1.78541,0.00653,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3182.64,1.64243,1.60674,0.00612,0.50752,0.43105,0.43804,0.23606,1.64683,1.7887,0.00652,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3244.53,1.62357,1.58423,0.00611,0.50218,0.43116,0.43584,0.23403,1.65241,1.78936,0.00653,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3306.49,1.62587,1.57302,0.00606,0.50389,0.42743,0.43464,0.23308,1.65659,1.78862,0.00655,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3368.71,1.61762,1.57745,0.00602,0.50664,0.42803,0.43444,0.23347,1.65202,1.79341,0.00653,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3429.89,1.61656,1.55578,0.00602,0.50384,0.42792,0.43492,0.23305,1.65199,1.78867,0.00652,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3491.57,1.607,1.54932,0.00604,0.5021,0.42964,0.43639,0.23293,1.6511,1.78978,0.00652,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3552.79,1.59381,1.53741,0.00594,0.49796,0.42808,0.43288,0.23193,1.65341,1.79649,0.00651,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3614.16,1.5963,1.53632,0.00595,0.50258,0.42589,0.43205,0.23175,1.65473,1.80369,0.00653,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3675.79,1.59819,1.53418,0.0059,0.50719,0.42281,0.43193,0.23157,1.65257,1.80543,0.00652,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3737.92,1.58704,1.52681,0.00587,0.5089,0.42314,0.43154,0.23067,1.65168,1.81018,0.00651,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3800.08,1.59164,1.50739,0.00585,0.51021,0.42303,0.4313,0.23085,1.65339,1.81257,0.00653,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3862.21,1.58137,1.50194,0.00584,0.50768,0.42451,0.43082,0.23033,1.65406,1.81869,0.00654,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3924.4,1.58307,1.47296,0.00583,0.50956,0.41962,0.43054,0.23041,1.6544,1.8209,0.00654,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
